Project,Priority,Rank level,Actionable warning lifespan: day(s)
bcel,Priority 1,16,2
bcel,Priority 2,18,0
bcel,Priority 2,16,0
bcel,Priority 1,16,2
bcel,Priority 2,17,0
bcel,Priority 2,18,0
bcel,Priority 2,18,0
bcel,Priority 2,18,0
bcel,Priority 2,18,0
bcel,Priority 3,20,0
bcel,Priority 2,18,2
bcel,Priority 2,18,0
bcel,Priority 2,18,0
bcel,Priority 3,20,9
bcel,Priority 2,18,0
bcel,Priority 2,18,2
bcel,Priority 1,16,2
bcel,Priority 2,18,0
bcel,Priority 1,16,2
bcel,Priority 2,18,2
bcel,Priority 2,18,0
bcel,Priority 1,16,2
bcel,Priority 3,19,0
bcel,Priority 2,18,0
bcel,Priority 1,16,2
bcel,Priority 3,20,3
bcel,Priority 2,18,0
bcel,Priority 1,16,2
bcel,Priority 2,18,2
bcel,Priority 2,18,0
bcel,Priority 1,16,2
codec,Priority 2,17,134
codec,Priority 2,19,159
codec,Priority 1,7,14
codec,Priority 2,18,0
codec,Priority 2,11,0
codec,Priority 1,19,27
codec,Priority 3,20,1
codec,Priority 2,18,277
codec,Priority 2,19,159
codec,Priority 2,18,466
codec,Priority 2,16,2
codec,Priority 3,20,121
codec,Priority 1,19,499
codec,Priority 1,19,12
codec,Priority 2,19,159
codec,Priority 2,17,134
codec,Priority 2,18,467
codec,Priority 2,18,17
codec,Priority 2,18,387
codec,Priority 1,19,398
codec,Priority 2,18,0
codec,Priority 1,16,14
codec,Priority 1,19,10
codec,Priority 2,18,1
codec,Priority 1,19,27
codec,Priority 1,19,27
codec,Priority 2,13,0
codec,Priority 3,20,1
codec,Priority 3,20,12
codec,Priority 1,19,12
codec,Priority 1,19,27
codec,Priority 2,19,542
codec,Priority 2,17,0
codec,Priority 1,7,217
codec,Priority 1,7,0
codec,Priority 1,16,0
codec,Priority 2,17,134
codec,Priority 1,19,10
codec,Priority 3,20,2
codec,Priority 3,20,56
codec,Priority 2,18,387
codec,Priority 3,20,18
codec,Priority 2,18,467
codec,Priority 1,19,499
codec,Priority 3,20,2
codec,Priority 1,16,549
codec,Priority 2,16,2
codec,Priority 1,19,12
codec,Priority 3,20,56
codec,Priority 1,19,499
codec,Priority 3,20,56
codec,Priority 2,17,0
codec,Priority 1,19,110
codec,Priority 2,19,132
codec,Priority 2,17,134
codec,Priority 3,20,1
codec,Priority 1,19,27
codec,Priority 1,19,10
codec,Priority 2,18,387
